timestamp,action,ticker,strategy,strike,expiry,qty,credit,delta,iv,dte,status,pnl,notes
2026-04-10 16:16,OPEN,SMH,BPS,390,20260515,2,5.75,0.173,44.31%,34,Filled,0,Score 100 | Buffer 11.1%
2026-04-10 16:32,OPEN,SPY,BPS,640,20260515,2,3.76,0.154,21.69%,34,Filled,0,Score 90 | Buffer 6.0%
2026-04-10 16:32,OPEN,GLD,CSP,405,20260515,1,3.55,0.161,29.75%,34,Filled,0,Score 80 | Buffer 7.6%
2026-04-10 16:39,OPEN,IWM,CSP,245,20260515,1,2.37,0.188,27.12%,34,Filled,0,Score 80 | Buffer 6.5%
2026-04-10 18:35,OPEN,QQQM,CSP,240,20260515,1,2.75,0.240,24.49%,34,Filled,0,Score 65 | Buffer 4.6%
2026-04-14 20:06,CLOSE_PROFIT,QQQM,CLOSE,240.0,20260515,1,1.40,,,30,Filled,145,50% profit target
2026-04-15 15:41,CLOSE_PROFIT,SPY,CLOSE,640.0,20260515,2,1.84,,,29,Filled,382,50% profit target
2026-04-15 15:41,CLOSE_PROFIT,IWM,CLOSE,245.0,20260515,1,1.15,,,29,Filled,122,50% profit target
2026-04-15 15:52,OPEN,IWM,CSP,256,20260522,1,3.19,0,0,36,Filled,0,Score 37 | Buffer 4.7%
2026-04-15 15:57,OPEN,QQQ,BPS,610,20260522,1,8.21,0,0,36,Filled,0,Score 27 | Buffer 3.1%
2026-04-15 21:01,OPEN,GDX,BPS,91.5,20260522,1,2.955,0,0,36,Submitted,0,Score 49 | Buffer 6.8% | OrderID 9
